smarts_reaction
[*:1]-[N:2]-[c:3]1[n][n][n][n]1 >> [*:1]-[C:2]-[O:3]
[C:1]-[C:2](-[O])-[C:3](=[O:4])-[O:5] >> [C:1]-[S:2]-[S:3](=[O:4])-[O:5]
[C:1]-[C:2](-[O:3])-[C:4](=[O:5])-[O:6] >> [C:1]-[O:2]-[C@@:3]1(-[C]-[O])-[O:4]-[C]-[C]-[C:5]-1=[O:6]
[*:1]-[c:2]1[c:3][c:4][c:5][c:6][c:7]1-[F] >> [*:1]-[C:2]-1-[C:3]-[C:4]-[C:5]-[C:6]-[C:7]1
[*:1]-[S:2] >> [*:1]-[C:2]
[*:1]-[S:2] >> [*:1]-[C:2](-[F])-[F]
[N:1]-[C@@H:2](-[C:3]-[C](-[F])(-[F])-[F])-[C:4](=[O:5])-[O:6] >> [N:1]-[C@@H:2](-[C:3]-[C](-[C](-[F])(-[F])-[F])-[C](-[F])(-[F])-[F])-[C:4](=[O:5])-[O:6]
[N:1]-[C@@H:2](-[C:3]-[C](-[F])(-[F])-[F])-[C:4](=[O:5])-[O:6] >> [C]-[C:3](-[C]-[C](-[F])(-[F])-[F])-[C:2](-[N:1])-[C:4](=[O:5])-[O:6]
[*:1]-[O:2] >> [*:1]-[N:2]-1-[C]-[C]-[C]-[C]-[C]1
[c:1]1[c:2][c:3][c:4](-[C])[c:5][c:6]1 >> [C:1]-1-[C:2]-[C:3]-[C:4]-[C:5]-[C:6]1
[*:1]-[C:2]1=[C:3]-[C]-[C]-[C]-[C:4]-1 >> [*:1]-[C:2]1-[C:3]-[C:4]-1
[*:1]-[C:2]1=[C:3]-[C:4]-[C:5]-[C:6]-[C]-1 >> [*:1]-[C:2]-[C:3]-[C:4]-[C:5]-[C:6]
[*:1]-[c:2]1[c:3][c:4][c](-[c:5]2[c][c][c][c][c]2)[c][c]1 >> [*:1]-[C:2]-[C:3]-[C:4]-[Cl:5]
[*:1]-[c:2]1[c][c][c:3](-[c:4]2[c][c][c][c][c]2)[c][c]1 >> [*:1]-[C:2]-[C:3]-[O:4]
[*:1][c:2]1[n:12][n:11][c:4][n:3]1[C:13]([C:6])[C:9]>>[*:1][c:2]1[n:3][c:4]([C]2[C:6][C][C][C:9][C]2)[n:11][n:12]1[C:13](=[O])[C]1[C][C][C][C][C]1
[*:1][C:2]([*:3])=[O:4]>>[*:1][C:2]([*:3])[O:4]
[*:1][C:2]([*:3])=[O:4]>>[*:1][C:2]([*:3])[N:4]
[*:1][c:2]1[c:4]cc([C:3])c[c:5]1>>[*:1][C:2]([C:3])([C:4])[C:5]
[*:1][B:2]([O:5])[O:7]>>[*:1][B:2]1[O][C][C:5][N][C:7][C][O]1
[*:1]C(=[O:3])C[C:5]([C:6])(C)[C:7]>>[*:1][S](=[O:3])(=[O])[C:5]([C:6])[C:7]
[*:1][c:2]1[c:3][c:4]c([S:6]([C:7])(=[O:8])=[O:9])[c:10][c:11]1>>[*:1][C:2]1[C:3][C:4][N]([S:6]([C:7])(=[O:8])=[O:9])[C:10][C:11]1
[*:1][c:8]1[c:7][c:6][c:5][c:4][c:2]1[O:3]C>>[*:1][C:2]1([O:3])[C:4][C:5][C:6][C:7][C:8]1
[*:1]c1[c:3][c:4][c:5]([C:6](=[O:7])[O:8])[c:9][c:10]1>>[*:1][N]1[C:3][C:4][C:5]([C:6](=[O:7])[O:8])[C:9][C:10]1
[N:1][C:2](=[O:3])[C:4][O:7][c:6]1[c:8][c:9][c:10][c:11](Cl)[c:12]1>>[C:1][C:2](=[O:3])[N:4][C][C:6]1([O:7])[C:8][C:9][C:10][C:11][C:12]1
[C:1][C:2](=[O:3])[N:4]([C:6])[C:5]>>[C:1][C:2](=[O:3])[N:4]1[C:5][C:6][C]1
[*:4][N:3][C:2]([*:1])=O>>[*:1][C:2][N:3][*:4]
[*:1][c:2]1[c:3][c:4][c:5][c:6][c:7]1>>[*:1][C:2]1[C:3][C:4][N:5][C:6][C:7]1
[*:1][c:2]1[c:3][c:4][c:10][c:13][c:14]1>>[*:1][C:2]1[C:3][C:4][N]([C](=[O])[O][C]([C:10])([C])[C])[C:13][C:14]1
[*:1][c:2]1[c:3][c:4][c]([C:5])[c]([C:6])[c:7]1>>[*:1][C:2]1[C:3][C:4][C:5][C:6][C:7]1
[*:1][S:2](=[O:3])(=[O:4])[c:5]1[c:6][c:7][c]([C:8])[c:9][c:10]1>>[*:1][S:2](=[O:3])(=[O:4])[C:5]1[C:6][C:7][C:8][C:9][C:10]1
[*:1][S:2](=[O:3])(=[O:4])[c:5]1[c][c:6]c(C)[c:7][c]1>>[*:1][S:2](=[O:3])(=[O:4])[C:5]([C:6])[C:7]
[*:1][S:2](=[O:3])(=[O:4])[c]1[c:5]cc([C:6])cc1>>[*:1][S:2](=[O:3])(=[O:4])[C:5][C:6]
[*:1][S:2](=[O:4])(=[O:5])[c]1ccc([C:3])cc1>>[*:1][S:2]([C:3])(=[O:4])=[O:5]
[*:1][S:2](=[O:3])(=[O:4])[c:5]1ccc(C)cc1>>[*:1][S:2](=[O:3])(=[O:4])[C:5]([F])([F])[F]
[*:1][S:2](=[O:3])(=[O:4])[c]1ccc([C:5])cc1>>[*:1][S:2](=[O:3])(=[O:4])[C:5]([F])[F]
[*:1][S:2](=[O:3])(=[O:4])[c:5]1ccc(C)cc1>>[*:1][S:2](=[O:3])(=[O:4])[C:5]([Cl])([Cl])[Cl]
[*:1][S:2](=[O:3])(=[O:4])[c]1cc[c:6](C)c[c:5]1>>[*:1][S:2](=[O:3])(=[O:4])[C:5][C:6]([F])([F])[F]
[*:1][S:2](=[O:3])(=[O:4])[c]1[c:5][c:6][c:7](C)cc1>>[*:1][S:2](=[O:3])(=[O:4])[C:5][C:6][C:7]([F])([F])[F]
[*:1][S:2](=[O:3])(=[O:4])[c:5]1cc[c:14](C)[c:11][c:8]1>>[*:1][S:2](=[O:3])(=[O:4])[C:5]([F])([F])[C:8]([F])([F])[C:11]([F])([F])[C:14]([F])([F])[F]
